"av_wages_year_prev";"av_wages_year";"av_wages_quarter";"calculation_type";"calculation_code";"industry";"industry_code";"average_wages_growth";"average_wages_value_prev";"average_wages_value";"category_code";"category_name";"price";"price_year_prev";"price_year";"price_quarter";"price_growth";"price_growth_unit";"czechia_price_value_prev";"czechia_price_value";"amount_of_food_per_av_wages_prev";"amount_of_food_per_av_wages";"price_than_average_wages_growth"
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;112401;Kuøata kuchaná celá; Kè / 1 kg;2006;2007;1;-8.77;%;50.3;45.89;256.0;309.0;20.7
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;112201;Vepøová peèenì s kostí; Kè / 1 kg;2006;2007;1;-0.99;%;104.39;103.36;123.0;137.0;11.38
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2006;2007;1;3.49;%;163.19;168.88;79.0;84.0;6.33
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;111602;Tìstoviny vajeèné; Kè / 1 kg;2006;2007;1;-1.07;%;26.27;25.99;490.0;547.0;11.63
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;111303;Peèivo pšenièné bílé; Kè / 1 kg;2006;2007;1;22.7;%;33.96;41.67;379.0;341.0;-10.03
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;111301;Chléb konzumní kmínový; Kè / 1 kg;2006;2007;1;17.16;%;14.74;17.27;874.0;823.0;-5.84
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;111201;Pšenièná mouka hladká; Kè / 1 kg;2006;2007;1;13.55;%;7.23;8.21;1783.0;1732.0;-2.86
2006;2007;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;10.29;12894;14221;111101;Rýže loupaná dlouhozrnná; Kè / 1 kg;2006;2007;1;9.96;%;21.29;23.41;605.0;607.0;0.33
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2006;2007;2;-0.12;%;8.5;8.49;1696.0;1830.0;7.9
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;122102;Pøírodní minerální voda uhlièitá; Kè / 1 l;2006;2007;2;-1.3;%;7.68;7.58;1877.0;2049.0;9.16
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;118101;Cukr krystalový; Kè / 1 kg;2006;2007;2;3.62;%;21.27;22.04;678.0;704.0;3.83
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;117401;Konzumní brambory; Kè / 1 kg;2006;2007;2;27.37;%;13.92;17.73;1036.0;876.0;-15.44
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;117106;Mrkev; Kè / 1 kg;2006;2007;2;-13.77;%;18.3;15.78;788.0;984.0;24.87
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;117103;Papriky; Kè / 1 kg;2006;2007;2;104.64;%;39.26;80.34;367.0;193.0;-47.41
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;117101;Rajská jablka èervená kulatá; Kè / 1 kg;2006;2007;2;-41.86;%;69.07;40.16;208.0;386.0;85.58
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;116104;Jablka konzumní; Kè / 1 kg;2006;2007;2;-17.26;%;33.31;27.56;432.0;563.0;30.32
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;116103;Banány žluté; Kè / 1 kg;2006;2007;2;25.5;%;25.65;32.19;562.0;482.0;-14.23
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;116101;Pomeranèe; Kè / 1 kg;2006;2007;2;15.13;%;24.79;28.54;581.0;544.0;-6.37
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2006;2007;2;-1.62;%;69.63;68.5;207.0;226.0;9.18
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;115101;Máslo; Kè / 1 kg;2006;2007;2;-1.94;%;105.66;103.61;136.0;149.0;9.56
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;114701;Vejce slepièí èerstvá; Kè / 10 ks;2006;2007;2;1.03;%;23.34;23.58;617.0;658.0;6.65
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;114501;Eidamská cihla; Kè / 1 kg;2006;2007;2;0.52;%;110.66;111.24;130.0;139.0;6.92
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;114401;Jogurt bílý netuèný; Kè / 150 g;2006;2007;2;1.91;%;5.75;5.86;2508.0;2651.0;5.7
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;114201;Mléko polotuèné pasterované; Kè / 1 l;2006;2007;2;3.95;%;14.43;15.0;999.0;1035.0;3.6
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;112704;Šunkový salám; Kè / 1 kg;2006;2007;2;0.73;%;116.11;116.96;124.0;132.0;6.45
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;112401;Kuøata kuchaná celá; Kè / 1 kg;2006;2007;2;6.13;%;47.13;50.02;306.0;310.0;1.31
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;112201;Vepøová peèenì s kostí; Kè / 1 kg;2006;2007;2;-1.94;%;102.27;100.29;141.0;154.0;9.22
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2006;2007;2;1.89;%;166.06;169.2;86.0;91.0;5.81
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;111602;Tìstoviny vajeèné; Kè / 1 kg;2006;2007;2;0.0;%;26.09;26.09;552.0;595.0;7.79
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;111303;Peèivo pšenièné bílé; Kè / 1 kg;2006;2007;2;19.04;%;35.87;42.7;402.0;363.0;-9.7
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;111301;Chléb konzumní kmínový; Kè / 1 kg;2006;2007;2;18.46;%;15.44;18.29;934.0;849.0;-9.1
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;111201;Pšenièná mouka hladká; Kè / 1 kg;2006;2007;2;15.88;%;7.43;8.61;1941.0;1804.0;-7.06
2006;2007;2;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.73;14422;15537;111101;Rýže loupaná dlouhozrnná; Kè / 1 kg;2006;2007;2;12.52;%;21.09;23.73;683.0;654.0;-4.25
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2006;2007;3;2.03;%;8.37;8.54;1831.0;1932.0;5.52
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;122102;Pøírodní minerální voda uhlièitá; Kè / 1 l;2006;2007;3;2.08;%;7.71;7.87;1988.0;2096.0;5.43
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;118101;Cukr krystalový; Kè / 1 kg;2006;2007;3;-2.02;%;22.27;21.82;688.0;756.0;9.88
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;117401;Konzumní brambory; Kè / 1 kg;2006;2007;3;-0.58;%;12.06;11.99;1271.0;1376.0;8.26
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;117106;Mrkev; Kè / 1 kg;2006;2007;3;6.38;%;13.16;14.0;1164.0;1178.0;1.2
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;117103;Papriky; Kè / 1 kg;2006;2007;3;60.38;%;33.39;53.55;459.0;308.0;-32.9
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;117101;Rajská jablka èervená kulatá; Kè / 1 kg;2006;2007;3;-39.28;%;51.38;31.2;298.0;528.0;77.18
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;116104;Jablka konzumní; Kè / 1 kg;2006;2007;3;29.16;%;25.96;33.53;590.0;492.0;-16.61
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;116103;Banány žluté; Kè / 1 kg;2006;2007;3;-1.76;%;28.98;28.47;528.0;579.0;9.66
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;116101;Pomeranèe; Kè / 1 kg;2006;2007;3;25.47;%;30.15;37.83;508.0;436.0;-14.17
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2006;2007;3;-1.7;%;68.95;67.78;222.0;243.0;9.46
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;115101;Máslo; Kè / 1 kg;2006;2007;3;8.71;%;102.5;111.43;149.0;148.0;-0.67
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;114701;Vejce slepièí èerstvá; Kè / 10 ks;2006;2007;3;2.01;%;22.9;23.36;669.0;706.0;5.53
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;114501;Eidamská cihla; Kè / 1 kg;2006;2007;3;8.73;%;110.34;119.97;138.0;137.0;-0.72
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;114401;Jogurt bílý netuèný; Kè / 150 g;2006;2007;3;-1.87;%;5.89;5.78;2602.0;2855.0;9.72
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;114201;Mléko polotuèné pasterované; Kè / 1 l;2006;2007;3;5.9;%;14.57;15.43;1052.0;1069.0;1.62
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;112704;Šunkový salám; Kè / 1 kg;2006;2007;3;-0.98;%;117.99;116.83;129.0;141.0;9.3
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;112401;Kuøata kuchaná celá; Kè / 1 kg;2006;2007;3;25.0;%;46.68;58.35;328.0;282.0;-14.02
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;112201;Vepøová peèenì s kostí; Kè / 1 kg;2006;2007;3;-2.84;%;106.91;103.87;143.0;158.0;10.49
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2006;2007;3;1.41;%;167.4;169.76;91.0;97.0;6.59
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;111602;Tìstoviny vajeèné; Kè / 1 kg;2006;2007;3;-0.04;%;26.04;26.03;588.0;633.0;7.65
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;111303;Peèivo pšenièné bílé; Kè / 1 kg;2006;2007;3;-1.15;%;42.61;42.12;359.0;391.0;8.91
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;111301;Chléb konzumní kmínový; Kè / 1 kg;2006;2007;3;9.59;%;17.21;18.86;890.0;874.0;-1.8
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;111201;Pšenièná mouka hladká; Kè / 1 kg;2006;2007;3;17.93;%;7.53;8.88;2035.0;1858.0;-8.7
2006;2007;3;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;7.65;15330;16502;111101;Rýže loupaná dlouhozrnná; Kè / 1 kg;2006;2007;3;13.26;%;21.12;23.92;725.0;689.0;-4.97
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;2000001;Kapr živý; Kè / 1 kg;2006;2007;4;13.89;%;69.35;78.98;239.0;234.0;-2.09
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2006;2007;4;3.1;%;8.39;8.65;1981.0;2137.0;7.87
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;122102;Pøírodní minerální voda uhlièitá; Kè / 1 l;2006;2007;4;1.31;%;7.61;7.71;2184.0;2398.0;9.8
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;118101;Cukr krystalový; Kè / 1 kg;2006;2007;4;-3.45;%;22.29;21.52;745.0;859.0;15.3
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;117401;Konzumní brambory; Kè / 1 kg;2006;2007;4;-31.3;%;13.93;9.57;1193.0;1932.0;61.94
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;117106;Mrkev; Kè / 1 kg;2006;2007;4;8.97;%;11.37;12.39;1462.0;1492.0;2.05
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;117103;Papriky; Kè / 1 kg;2006;2007;4;104.78;%;32.24;66.02;515.0;280.0;-45.63
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;117101;Rajská jablka èervená kulatá; Kè / 1 kg;2006;2007;4;-6.66;%;47.18;44.04;352.0;419.0;19.03
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;116104;Jablka konzumní; Kè / 1 kg;2006;2007;4;4.16;%;27.9;29.06;595.0;636.0;6.89
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;116103;Banány žluté; Kè / 1 kg;2006;2007;4;-0.96;%;30.23;29.94;549.0;617.0;12.39
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;116101;Pomeranèe; Kè / 1 kg;2006;2007;4;31.29;%;23.11;30.34;719.0;609.0;-15.3
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2006;2007;4;5.8;%;68.64;72.62;242.0;254.0;4.96
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;115101;Máslo; Kè / 1 kg;2006;2007;4;41.94;%;102.52;145.52;162.0;127.0;-21.6
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;114701;Vejce slepièí èerstvá; Kè / 10 ks;2006;2007;4;22.09;%;23.86;29.13;696.0;634.0;-8.91
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;114501;Eidamská cihla; Kè / 1 kg;2006;2007;4;35.74;%;109.65;148.84;151.0;124.0;-17.88
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;114401;Jogurt bílý netuèný; Kè / 150 g;2006;2007;4;3.08;%;5.84;6.02;2846.0;3071.0;7.91
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;114201;Mléko polotuèné pasterované; Kè / 1 l;2006;2007;4;20.17;%;14.53;17.46;1144.0;1058.0;-7.52
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;112704;Šunkový salám; Kè / 1 kg;2006;2007;4;-2.55;%;117.83;114.82;141.0;161.0;14.18
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;112401;Kuøata kuchaná celá; Kè / 1 kg;2006;2007;4;34.34;%;45.58;61.23;364.0;301.0;-17.31
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;112201;Vepøová peèenì s kostí; Kè / 1 kg;2006;2007;4;-3.1;%;107.44;104.11;154.0;177.0;14.94
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2006;2007;4;0.64;%;168.99;170.07;98.0;108.0;10.2
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;111602;Tìstoviny vajeèné; Kè / 1 kg;2006;2007;4;10.62;%;25.98;28.74;639.0;643.0;0.63
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;111303;Peèivo pšenièné bílé; Kè / 1 kg;2006;2007;4;16.8;%;42.57;49.72;390.0;371.0;-4.87
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;111301;Chléb konzumní kmínový; Kè / 1 kg;2006;2007;4;22.24;%;17.27;21.11;962.0;875.0;-9.04
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;111201;Pšenièná mouka hladká; Kè / 1 kg;2006;2007;4;43.36;%;7.45;10.68;2231.0;1731.0;-22.41
2006;2007;4;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;11.22;16625;18490;111101;Rýže loupaná dlouhozrnná; Kè / 1 kg;2006;2007;4;12.69;%;21.67;24.42;767.0;757.0;-1.3
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2007;2008;1;6.45;%;8.37;8.91;1699.0;1806.0;6.3
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;122102;Pøírodní minerální voda uhlièitá; Kè / 1 l;2007;2008;1;6.97;%;7.75;8.29;1834.0;1942.0;5.89
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;118101;Cukr krystalový; Kè / 1 kg;2007;2008;1;-2.38;%;22.26;21.73;638.0;740.0;15.99
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;117401;Konzumní brambory; Kè / 1 kg;2007;2008;1;-38.37;%;16.73;10.31;850.0;1561.0;83.65
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;117106;Mrkev; Kè / 1 kg;2007;2008;1;2.76;%;14.5;14.9;980.0;1080.0;10.2
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;117103;Papriky; Kè / 1 kg;2007;2008;1;-5.0;%;73.58;69.9;193.0;230.0;19.17
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;117101;Rajská jablka èervená kulatá; Kè / 1 kg;2007;2008;1;-11.28;%;44.75;39.7;317.0;405.0;27.76
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;116104;Jablka konzumní; Kè / 1 kg;2007;2008;1;25.99;%;24.55;30.93;579.0;520.0;-10.19
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;116103;Banány žluté; Kè / 1 kg;2007;2008;1;5.82;%;32.46;34.35;438.0;468.0;6.85
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;116101;Pomeranèe; Kè / 1 kg;2007;2008;1;9.03;%;25.26;27.54;562.0;584.0;3.91
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2007;2008;1;13.16;%;69.01;78.09;206.0;206.0;0.0
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;115101;Máslo; Kè / 1 kg;2007;2008;1;18.59;%;103.26;122.46;137.0;131.0;-4.38
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;114701;Vejce slepièí èerstvá; Kè / 10 ks;2007;2008;1;28.93;%;23.78;30.66;598.0;525.0;-12.21
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;114501;Eidamská cihla; Kè / 1 kg;2007;2008;1;33.18;%;111.38;148.34;127.0;108.0;-14.96
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;114401;Jogurt bílý netuèný; Kè / 150 g;2007;2008;1;6.67;%;5.85;6.24;2430.0;2580.0;6.17
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;114201;Mléko polotuèné pasterované; Kè / 1 l;2007;2008;1;25.64;%;14.55;18.28;977.0;880.0;-9.93
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;112704;Šunkový salám; Kè / 1 kg;2007;2008;1;0.25;%;117.14;117.43;121.0;137.0;13.22
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;112401;Kuøata kuchaná celá; Kè / 1 kg;2007;2008;1;34.26;%;45.89;61.61;309.0;261.0;-15.53
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;112201;Vepøová peèenì s kostí; Kè / 1 kg;2007;2008;1;0.39;%;103.36;103.76;137.0;155.0;13.14
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;112101;Hovìzí maso zadní bez kosti; Kè / 1 kg;2007;2008;1;2.94;%;168.88;173.85;84.0;92.0;9.52
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;111602;Tìstoviny vajeèné; Kè / 1 kg;2007;2008;1;16.12;%;25.99;30.18;547.0;533.0;-2.56
2007;2008;1;pøepoètený;200;Zemìdìlství, lesnictví, rybáøství;A;13.21;14221;16100;111303;Peèivo pšenièné bílé; Kè / 1 kg;2007;2008;1;31.85;%;41.67;54.94;341.0;293.0;-14.08
